id,name,address,latitude,longitude,review_count,rating,zip_code,insertedAtTimestamp
l1nX-f46dmOEmYPoiuLSaw,Peking Duck House,236 E 53rd St,40.756912,-73.968109,511,3.5,10022,2023-02-27T00:25:06.062917Z
QaolMEijS7L6eodSneOdng,Tri Dim Shanghai West,467 Columbus Ave,40.78412,-73.97368,206,4.0,10024,2023-02-27T00:25:06.062917Z
83zDAk03lFXkgImgkLhT9w,Chi Restaurant & Bar,492 9th Ave,40.75547,-73.99439,42,4.0,10018,2023-02-27T00:25:06.062917Z
sfsjk1h50ooC2ioY7m48gw,Pig Heaven,1420 3rd Ave,40.77544,-73.95686,489,4.0,10028,2023-02-27T00:25:06.062917Z
lynQoI3w_pzYfHGeuUU-Qg,Shu Jiao Fu Zhou,295 Grand St,40.7174109,-73.9920876,1178,4.5,10002,2023-02-27T00:25:06.062917Z
sBCJYLPNJuagg-aJ3Y_ozQ,Cheli,19 St Marks Pl,40.72925,-73.9886,250,4.0,10003,2023-02-27T00:25:06.062917Z
SBJHGtqJyfaU47NPjGAU6A,China Jade,1643 2nd Ave,40.777392,-73.952329,212,3.5,10028,2023-02-27T00:25:06.062917Z
SNhDVaf_n7VDZcfry8mYdA,The Bao,13 St Marks Pl,40.72939,-73.9889199,1406,4.0,10003,2023-02-27T00:25:06.062917Z
3oB2_2vpeIyxJt1GvlcZBA,Baodega,7 W 20th St,40.740201,-73.991727,281,4.0,10011,2023-02-27T00:25:06.062917Z
xm_-5QZFzJidiUO--PgOYg,Bites of Xi'an,60 W 56th St,40.76335868622376,-73.97709537292124,67,4.0,10019,2023-02-27T00:25:06.062917Z
AHrU1F123QPdVPTCnsy_xA,Chalong,749 9th Ave,40.763924,-73.988883,51,5.0,10019,2023-02-27T00:25:06.062917Z
A-ert0jDRBfku9ogyW_mEg,Spice Symphony,150 E 50th St,40.7558937072754,-73.9715347290039,630,4.5,10022,2023-02-27T00:25:06.812073Z
Qwd4Tv-CqgO2Yl9zZgkKOQ,Shun Lee Palace,155 E 55th St,40.75945,-73.96907,332,3.0,10022,2023-02-27T00:25:06.812073Z
gcEMZjjqy5Ucnv_5Pv-q1g,Tasty Hand Pulled Noodles II,648 9th Ave,40.760537,-73.990782,385,4.0,10036,2023-02-27T00:25:06.812073Z
_fTRTishY3G5dLPLYGCVAw,Tipsy Shanghai,594 3rd Ave,40.74879,-73.9761,36,4.0,10016,2023-02-27T00:25:06.812073Z
X8ZS-dgiMIJvhwf9SaDnjw,Wah Fung No 1,79 Chrystie St,40.71735,-73.99457,1976,4.5,10002,2023-02-27T00:25:06.812073Z
croh2zWlbPyCQTNS11klcg,China River 川聚院,258 W 44th St,40.75821,-73.98833,263,4.0,10036,2023-02-27T00:25:06.812073Z
TzhAlljC_843JO7UDDUIaQ,The Tang - Upper West Side,920 Amsterdam Ave,40.80006,-73.96639,285,4.5,10025,2023-02-27T00:25:06.812073Z
rGUv1nNmsvy2jOlZtbaOpw,Dimsum Garden,338 Lexington Ave,40.74979,-73.97743,67,4.5,10016,2023-02-27T00:25:06.812073Z
olRNNJCJ2TJvPRmjBiOcGA,Silky Kitchen,137 E 13th St,40.73297,-73.98829,283,4.5,10003,2023-02-27T00:25:06.812073Z
Y92VtOkTZ6BirkJbUKCMOw,Rong Cheng House,242 W 56th St,40.76572,-73.98286,127,4.0,10019,2023-02-27T00:25:06.812073Z
pBNMZp_tKCAfRNx7-ybcHQ,Calle Dao - Chelsea,461 W 23rd St,40.74765439999999,-74.00352480000001,998,4.5,10011,2023-02-27T00:25:06.812073Z
0vg2Z-HPwkyVVX613j2ysg,Peng's Noodle Folk,1659 1st Ave,40.77726,-73.94932,536,4.5,10028,2023-02-27T00:25:06.812073Z
xCHApgtkLpEyh0lz-uhZvg,Szechuan Garden,239 W 105th St,40.80053,-73.967586,374,4.0,10025,2023-02-27T00:25:06.812073Z
lQ8Fzgji9qmgRXkFcvAsVQ,Chong Qing Xiao Mian,796 9th Ave,40.76513,-73.98753,341,4.0,10019,2023-02-27T00:25:06.812073Z
iM2DKMjyU_R1r8x-3AZGQg,New Cottage,2199 Broadway,40.78326357630784,-73.98078454782609,68,4.0,10024,2023-02-27T00:25:06.812073Z
M-odQWSEfsR2mVEw7nKG-g,Nyonya,199 Grand St,40.719116974367,-73.9968322948353,2324,4.0,10013,2023-02-27T00:25:06.812073Z
oe8GEFE4QLFAKt87y7zcgA,Very Fresh Noodles,409 W 15th St,40.74207,-74.00565,1344,4.5,10011,2023-02-27T00:25:06.812073Z
1jAB_uaI8-P_wSqOo2S3KQ,Mazu Szechuan,495 3rd Ave,40.745234,-73.97812,111,4.5,10016,2023-02-27T00:25:06.812073Z
iiP46Z-A_ClynkS_qFQKEQ,Munchiez by Mei Lai Wah,126 MacDougal St,40.730027,-74.000204,88,5.0,10012,2023-02-27T00:25:06.812073Z
nI1UYDCYUTt23TpGxqnLKg,Buddakan,75 9th Ave,40.7422762672197,-74.0048000961542,4472,4.0,10011,2023-02-27T00:25:06.812073Z
gDCK63W5_8-tdCCWr92rbw,Shan,191 Smith St,40.68524,-73.99133,56,4.5,11201,2023-02-27T00:25:06.812073Z
7ZQSMqWzvXMSetXnii2fBg,Excellent Dumpling House,165 W 23rd St,40.7440494396358,-73.995028194335,755,4.0,10011,2023-02-27T00:25:06.812073Z
rBUTVjRs5CcEMe3dfVRZJQ,Ho Foods,110 E 7th St,40.72634,-73.98478,402,4.0,10009,2023-02-27T00:25:06.813096Z
GuzlMBKNoClNx5I1-x-DDg,53 NYC,53 W 53rd St,40.76179318437133,-73.9780863,61,4.0,10019,2023-02-27T00:25:06.813096Z
iSjPBJRiWqrgxW7ZM3CGig,Birds of a Feather,191 Grand St,40.71442,-73.960441,561,4.0,11211,2023-02-27T00:25:06.813096Z
FcQA5tV8wlz6jg_UK_s7Hw,Simply Noodles,267  Amsterdam Ave,40.7788403,-73.98118199999999,71,4.5,10023,2023-02-27T00:25:06.813096Z
dDXtga5Kgo5B1twdezcZJA,Auntie Guan's Kitchen ,108 W 14th St,40.73748,-73.99752,380,3.5,10011,2023-02-27T00:25:06.813096Z
4DInnPhOyvXFbYpUdO0SMQ,Antidote,66 S 2nd St,40.714253413118925,-73.96544806659222,306,4.5,11249,2023-02-27T00:25:06.813096Z
scTDvJ2M2jDbb1ntVeIyxA,Hao Noodle - West Village,401 6th Ave,40.7334863190479,-73.9998929006093,834,4.0,10014,2023-02-27T00:25:06.813096Z
C3tP0fNNAoxOAC3O406CXQ,Le Sia,651 9th Ave,40.76072,-73.99119,129,4.5,10036,2023-02-27T00:25:06.813096Z
6YehBdKHcLDsvaewhcEjFQ,Hey Yuet,251 W 26th St,40.74703,-73.99645,181,4.5,10001,2023-02-27T00:25:06.813096Z
LVkBYW-FNaZ2h-0zB8-vzA,Jiang's Kitchen,65 St Marks Pl,40.72808,-73.98615,48,4.5,10003,2023-02-27T00:25:06.813096Z
WVsPyl-DGRu0O_rQYdIMVQ,The Best Sichuan,47 W 39th St,40.75266,-73.98459,95,4.5,10018,2023-02-27T00:25:06.813096Z
NN3mOWF5e_pnR1ArqM2bHQ,OBAO,647 9th Ave,40.7606544,-73.991332,3794,4.0,10036,2023-02-27T00:25:06.813096Z
