id,name,address,latitude,longitude,review_count,rating,zip_code
u1gdMF6vMCdwCilQ6vgyfw,Honest,176 Bleecker St,40.72887,-74.00082,42,4.5,10012
DZE4ThXa7d0kSXnR3Hb-kg,Junoon,19 W 24th St,40.743193,-73.990838,1683,3.5,10010
KbCLZOKvPdNY7ptAg0kGxw,The Kati Roll Company,229 E 53rd St,40.7574005,-73.968071,350,3.5,10022
_7BGw3YFNOTzP1Www3zB7g,Mughlai Grill,6 Clinton St,40.7210905,-73.9840446,493,4.5,10002
CVpha6hKVu_r1lx6JxNIPg,Veeray da Dhaba,222 1st Ave,40.730819,-73.982723,87,4.5,10009
w2-VGvlBCMYo9ko8Y_PzAw,Masala King,64 E 34th St,40.747176,-73.981957,265,4.0,10016
UiG3MlLDMMZp31XDBM2kvA,Karahi Indian Cuisine,803 9th Ave,40.765667,-73.987595,98,4.5,10019
SP4bvMvxel_UPdof_er3HA,Taco Mahal,73 7th Ave S,40.73235768476899,-74.00332645767203,787,4.5,10014
dOQjniOt57mI9l9CmrCSJQ,Curry India,148 W 49th St,40.76006,-73.98306,190,4.0,10019
sCHiXF4mZcsiY8_cBHNiqw,deep indian kitchen - indikitch,25 W 23rd St,40.7422142028809,-73.9904403686523,740,4.0,10010
JSX6Pk56w4BhgO8eSvCrKg,aRoqa,206 9th Ave,40.746065,-74.001254,389,4.0,10011
_SIoeZKs--95T4OsUKwtJw,Chote Miya,75 9th Ave,40.74222,-74.00466,44,4.0,10011
tN37MOvqzrmpU0h0PfoDmw,Utsav,1185 Avenue Of The Americas Plz,40.75791,-73.9825,613,3.5,10036
VC1udoc_sbHdFaBr0-bMsA,Bombay Chowk,1378 1st Ave,40.76873,-73.9549,148,4.0,10021
T1CRoZ-f-hwrjdkBvt7_kg,Indian Tanpura,564 Amsterdam Ave,40.78869,-73.97468,183,4.0,10024
wm10mMj_41_-l_gRhRH3TA,deep indian kitchen - indikitch,940 8th Ave,40.76573,-73.98338,483,4.0,10019
gPattIGuKxCgeNjxfEMDjg,Punjabi Junction Of 87th,1665 1st Ave,40.777471,-73.949159,59,5.0,10028
NhBUzlITbu3rdjm9UEfWsw,Raj's Indian Kitchen,42-12 28th St,40.74956171352732,-73.93954799532425,335,4.0,11101
FqYgcc7Mk2XrYJ10OGgghQ,Himalayan Curry House Restaurant and Bar,220 E 53rd St,40.757199,-73.96858,69,4.0,10022
